0.6458, 0.0238
0.6879, 0.0665
0.7142, 0.1268
0.7346, 0.2209
0.7539, 0.3391
0.7628, 0.4444
0.7701, 0.5499
0.7822, 0.7202
0.7786, 0.6426
0.7898, 0.8361
0.7955, 0.9460
0.7999, 1.0682
0.8156, 1.3099
0.8110, 1.2037
0.8070, 1.1424
0.8177, 1.4352
0.8219, 1.5407
0.8260, 1.7850
0.8244, 1.6874
0.8214, 1.6334
0.8419, 2.0421
0.8312, 1.9412
0.8308, 1.8684
0.8501, 2.1537
0.8580, 2.3133
0.8438, 2.2590
0.8775, 2.5724
0.8615, 2.4602
0.8557, 2.4112
1.1415, 2.5502
1.1412, 2.4774
1.1416, 2.3933
1.1461, 2.3238
1.1457, 2.2510
1.1454, 2.1782
1.1451, 2.1054
1.1447, 2.0326
1.1472, 1.9544
1.1448, 1.8755
1.1474, 1.7989
1.1546, 1.7320
1.1523, 1.6510
1.1567, 1.5821
1.1599, 1.5019
1.1651, 1.4154
1.1646, 1.3151
1.1691, 1.2421
1.1688, 1.1693
1.1666, 1.0938
1.1728, 0.9974
1.1740, 0.9056
1.1783, 0.8050
1.1779, 0.7099
1.1783, 0.6290
1.1826, 0.5340
1.1905, 0.4120
1.2040, 0.3046
1.2176, 0.2244
1.2247, 0.1433
1.2523, 0.0655
1.3146, 0.0412
1.3763, 0.0804
1.4297, 0.1476
1.4692, 0.2211
1.5031, 0.2994
1.5384, 0.3760
1.5650, 0.4564
1.5917, 0.5344
1.6192, 0.6165
1.6587, 0.6933
1.6870, 0.7595
1.7125, 0.8360
1.7352, 0.9167
1.7803, 0.9959
1.8393, 1.0541
1.8951, 1.0170
1.9423, 0.9486
1.9839, 0.8796
2.0179, 0.8026
2.0462, 0.7314
2.0799, 0.6422
2.1083, 0.5700
2.1409, 0.4984
2.1859, 0.4207
2.2387, 0.3419
2.3000, 0.2838
2.3613, 0.2423
2.4227, 0.2320
2.4843, 0.2362
2.5459, 0.2627
2.6077, 0.3124
2.6695, 0.3819
2.7257, 0.4510
2.7764, 0.5278
2.8243, 0.6002
2.8734, 0.6797
2.9023, 0.7430
2.9399, 0.8215
2.9657, 0.8882
2.9937, 0.9581
3.0220, 1.0309
3.0531, 1.1141
3.0842, 1.1868
3.1090, 1.2610
3.1436, 1.3426
3.1859, 1.4161
3.2394, 1.4847
3.3010, 1.5223
3.3625, 1.5172
3.4239, 1.4808
3.4851, 1.4137
3.5463, 1.3403
3.6047, 1.2709
3.6631, 1.2030
3.7243, 1.1447
3.7856, 1.1014
3.8470, 1.0634
3.9084, 1.0343
3.9698, 1.0141
4.0313, 1.0021
4.0927, 0.9900
4.1542, 0.9879
4.2157, 0.9846
4.2772, 0.9786
4.3387, 0.9747
4.4002, 0.9696
4.4617, 0.9678
4.5232, 0.9620
4.5847, 0.9614
4.6462, 0.9614
4.7077, 0.9614
4.7692, 0.9584
4.8307, 0.9548
4.8923, 0.9605
4.9538, 0.9629
5.0153, 0.9693
5.0769, 0.9795
5.1384, 0.9849
5.2000, 0.9912
5.2615, 0.9945
5.3231, 0.9978
5.3846, 1.0012
5.4461, 1.0012
5.5076, 0.9990
5.5691, 0.9963
5.6306, 0.9945
5.6921, 0.9945
5.7536, 0.9945
5.8151, 0.9927
5.8766, 0.9834
5.9381, 0.9831
5.9773, 0.9857
